Column1;Unnamed: 0;food;Caloric Value;Fat;Saturated Fats;Monounsaturated Fats;Polyunsaturated Fats;Carbohydrates;Sugars;Protein;Dietary Fiber;Cholesterol;Sodium;Water;Vitamin A;Vitamin B1;Vitamin B11;Vitamin B12;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Calcium;Copper;Iron;Magnesium;Manganese;Phosphorus;Potassium;Selenium;Zinc;Nutrition Density
0;0;chocolate pudding fat free;105;3;0;0;0;236;178;22;3;11;1;861;0;21;60;69;46;22;2;84;0;0;0;98;441;35;19;17;40;61;235;52;3;724
1;1;tapioca pudding;143;43;11;28;88;239;164;21;0;11;2;79;0;25;3;21;1;31;3;52;3;0;2;10;781;26;1;66;96;66;1012;0;2;1088
2;2;tapioca pudding fat free;105;4;1;80;67;239;159;16;0;11;2;854;0;44;96;12;43;1;56;39;3;0;72;0;582;4;1;56;23;739;784;0;2;845
3;3;rice pudding;122;24;14;6;1;208;131;36;3;136;1;849;43;2;98;89;98;2;2;4;74;15;0;11;63;1074;14;1;9;1;927;1413;83;27329
4;4;corn pudding;328;126;63;39;14;424;165;111;3;180;7;1808;2;1;2;74;26;4;26;13;3;93;48;7;66;975;1;13;375;2;225;440;69;69795
5;5;chocolate pudding;213;69;19;41;2;345;258;31;0;15;2;1042;45;3;61;44;1;2;4;62;5;0;5;66;765;1;19;27;2;84;276;0;5;123424
6;6;lemon pudding;173;44;26;13;2;302;0;41;0;165;4;1098;26;92;71;28;2;1;4;83;12;0;0;0;1485;70;58;165;7;3075;1905;41;5;188516
7;7;vanilla pudding;195;57;15;34;1;339;255;22;0;15;3;1075;18;12;84;92;1;47;2;48;3;0;5;34;735;80;1;6;31;615;975;0;2;115796
8;8;profeel proteiinirahka valio;140;4;2;168;168;193;2;175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1947
9;9;cottage cheese creamed;20;9;3;2;84;7;5;22;0;34;95;16;22;89;39;60;60;59;1;36;0;85;82;0;166;19;71;16;9;318;208;45;18;20576
10;10;zaziki milfina;51;44;16;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44
