ID;food;Caloric Value;Fat;Saturated Fats;Monounsaturated Fats;Polyunsaturated Fats;Carbohydrates;Sugars;Protein;Dietary Fiber;Cholesterol;Sodium;Water;Vitamin A;Vitamin B1;Vitamin B11;Vitamin B12;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Calcium;Copper;Iron;Magnesium;Manganese;Phosphorus;Potassium;Selenium;Zinc;Nutrition Density
1;cream cheese;51;5;29;13;2;8;5;9;0;146;16;76;2;33;64;92;97;84;52;96;4;0;0;1;8;141;82;27;13;91;155;191;39;707
2;neufchatel cheese;215;194;109;49;8;31;27;78;0;629;3;536;2;99;79;90;1;2;5;78;0;0;3;45;995;34;1;85;88;1173;1292;54;7;1301
3;requeijao cremoso light catupiry;49;36;23;9;0;9;34;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54
4;ricotta cheese;30;2;13;5;2;15;91;15;0;98;17;147;75;19;79;91;27;41;16;7;6;0;1;11;97;412;97;96;4;24;308;438;35;5196
5;cream cheese low fat;30;23;14;6;42;12;9;12;0;81;46;10;16;80;62;49;26;80;1;3;0;36;9;19;222;72;8;12;98;228;371;34;53;27007
6;cream cheese fat free;19;2;1;91;75;14;1;28;0;22;1;129;63;20;89;92;21;25;2;38;0;0;49;59;632;39;53;4;28;941;50;13;3;67679
7;gruyere cheese;116;91;53;28;5;1;1;83;0;308;2;93;61;21;72;78;4;43;2;51;0;34;35;48;2831;33;94;101;2;1694;227;79;11;300694
8;cheddar cheese;113;93;53;26;3;9;1;64;0;277;2;103;54;31;5;73;1;10;1;5;0;60;2;35;1988;99;77;76;63;1274;213;9;1;21553
9;parmesan cheese;71;45;27;14;1;6;46;64;0;122;2;54;67;62;99;59;57;39;60;66;0;95;18;21;2131;51;1;79;73;1249;166;45;5;224777
10;romano cheese;19;13;9;4;35;2;88;16;0;52;8;15;64;58;26;45;59;55;25;29;0;73;78;4;532;46;30;21;2;38;43;87;1;5638
11;parmesan cheese grated;21;14;8;4;36;7;75;14;0;43;43;11;17;3;15;91;81;77;57;77;7;0;2;14;12;427;94;94;17;26;314;9;38;3745
12;port salut cheese;465;372;22;123;1;8;8;314;0;1624;7;60;4;12;35;67;3;19;3;80;0;57;3;94;858;62;6;317;95;4752;1795;15;34;9284
13;swiss cheese;98;77;46;2;3;4;0;67;0;233;57;94;69;8;27;8;18;58;1;36;0;16;2;56;2225;26;24;83;62;1435;18;31;11;237396
14;goat cheese hard;128;101;7;23;2;6;6;86;0;297;76;82;1;71;35;93;3;7;1;7;0;44;83;39;2533;2;5;153;88;2063;136;82;4;2732
15;gouda cheese;100;77;49;22;2;6;6;7;0;319;2;116;53;16;42;10;9;81;11;53;0;40;26;74;196;13;60;81;80;1529;339;50;11;211424
16;pepper jack cheese lucerne;75;6;4;0;0;0;0;5;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135
17;caraway cheese;106;83;53;23;2;9;0;71;0;263;2;111;14;77;66;38;1;40;22;86;0;0;0;0;1905;7;2;62;2;1387;263;9;8;207072
18;gjetost cheese;1058;67;435;179;21;968;0;219;0;2134;14;305;8;7;76;47;31;18;76;6;0;0;0;0;908;2;12;1589;35;100790;319840;39;26;10957
19;tilsit cheese;136;104;67;29;3;8;0;98;0;408;3;171;57;36;72;58;1;68;1;36;0;0;0;0;280;33;10;52;86;200;26;26;14;301069
20;goat cheese;103;84;58;19;2;9;31;61;0;224;1;129;1;13;11;86;2;3;30;87;0;78;82;46;843;2;5;82;8;1061;447;5;2;99494
21;brick cheese;111;89;56;26;2;8;2;7;0;282;2;123;16;42;59;74;1;85;86;33;0;42;72;64;2022;93;1;72;85;1353;408;56;8;219002
22;asadero cheese;402;319;203;91;1;32;32;255;0;1187;7;476;98;34;5;43;3;2;3;24;0;71;3;20;7469;67;6;294;24;5006;972;96;34;808175
23;camembert cheese;90;73;46;21;2;1;1;59;0;216;3;155;91;54;43;34;1;2;4;17;0;93;14;24;1164;46;63;6;75;1041;561;35;7;129826
24;provolone cheese reduced fat;310;199;128;55;6;4;6;279;0;622;1;572;2;50;63;79;4;2;5;61;0;27;2;76;8543;77;6;316;96;5605;1559;54;36;9069
25;roquefort cheese;314;26;164;72;11;17;0;183;0;765;15;335;2;92;37;2;5;6;15;1;0;0;0;0;5627;5;5;255;36;3332;774;81;18;6094
26;queso blanco cheese;366;287;161;76;14;3;21;24;0;826;8;575;2;97;0;22;3;38;5;1;0;50;6;61;8142;98;2;342;67;5511;1487;16;36;8703
27;queso seco cheese;315;236;133;62;12;2;5;238;0;757;18;409;2;38;0;10;2;27;4;49;0;32;5;45;6412;91;2;262;83;4608;1125;48;32;6910
28;goat cheese soft;75;6;41;14;1;0;3;52;0;130;1;172;49;57;37;12;1;1;2;36;0;92;10;93;396;2;5;45;26;724;74;14;3;51311
29;mozzarella cheese;90;66;42;2;2;7;0;67;0;237;1;15;37;88;88;81;71;13;89;16;0;44;1;8;1515;57;1;6;19;1062;228;47;9;165648
30;chihuahua cheese;494;392;249;111;12;73;73;285;0;1386;8;517;7;53;31;82;3;2;4;61;0;89;3;11;8593;30;6;304;47;5834;686;71;46;934983
31;limburger cheese;98;82;5;26;1;1;1;6;0;270;2;145;1;21;95;82;2;9;4;2;0;4;55;46;1491;36;11;63;54;1179;384;29;6;163575
32;muenster cheese;486;397;252;115;9;15;15;309;0;1267;8;551;4;16;9;85;4;1;3;72;0;65;3;56;9464;8;5;356;93;6178;1769;59;37;10194
33;queso fresco cheese;365;291;158;73;13;36;28;221;0;842;9;627;3;19;29;76;2;50;4;60;0;55;5;87;6905;25;2;293;53;4697;1574;73;31;7458
34;brie cheese;100;83;52;24;2;1;1;62;0;300;2;145;14;40;25;73;2;1;2;1;0;68;78;56;552;15;2;6;47;564;456;40;7;70096
35;pimento cheese;525;437;275;125;14;24;9;31;1;1316;2;547;3;23;43;16;5;1;7;11;32;99;4;86;8596;32;6;308;31;104160;2268;89;42;9409
36;mexican cheese;316;217;13;56;8;38;6;277;0;694;9;54;2;91;27;50;3;17;0;40;0;87;2;73;128350;34;1;392;0;653;1042;6;48;13370
37;feta cheese;80;64;4;14;2;12;0;43;0;267;3;166;14;63;21;76;3;3;3;1;0;60;36;57;1479;12;2;57;63;1011;186;5;9;160058
38;mozzarella cheese fat free;159;0;0;0;0;4;17;358;2;203;8;68;1;79;11;25;3;1;0;55;0;0;2;18;108590;77;4;373;0;7413;1198;35;44;11282
39;provolone cheese;463;351;225;98;1;28;7;338;0;911;12;541;3;13;17;5;4;2;6;52;0;28;3;1;9979;11;7;37;33;6547;1822;17;43;10706
40;anejo cheese;492;396;251;113;12;61;61;283;0;1386;15;502;98;69;81;77;3;88;3;11;0;32;3;78;8976;58;6;37;67;5861;1148;95;39;972205
41;honey;64;0;0;0;0;173;172;80;25;0;11;36;0;0;22;0;3;12;30;4;1;0;0;0;13;61;17;4;98;8;109;21;8;18892
42;apple butter;35;63;38;66;64;85;71;45;3;0;3;113;0;78;20;0;53;92;5;57;1;0;60;75;28;85;25;8;93;16;182;78;95;11836
43;fruit jam;56;95;21;65;0;138;97;0;2;0;52;61;0;83;76;0;24;70;45;37;18;0;62;0;4;22;70;8;2;38;154;54;30;19919
44;chocolate hazelnut spread;100;55;53;0;0;115;10;1;1;0;99;2;0;5;20;42;36;72;100;56;0;0;9;71;20;61;8;118;2;281;753;21;2;398
45;peanut butter;88;74;14;31;17;36;1;33;9;0;85;2;0;0;81;63;0;41;2;2;78;0;0;9;0;81;79;3;269;2;503;888;44;15268
46;peanut spread;101;85;16;42;25;22;5;38;12;0;28;3;0;91;79;0;25;25;2;49;0;0;12;46;112;1;4;254;3;543;1268;78;5;273
47;chicken spread;88;98;18;27;13;23;3;101;2;314;4;321;76;60;48;64;3;15;2;16;0;0;0;0;9;49;5;67;83;498;594;29;6;31972
48;cheese spread;708;686;432;194;25;84;84;17;0;2160;12;1404;7;71;27;11;5;23;0;51;0;91;18;98;1704;20;27;144;0;2184;2688;65;12;2678
49;tahini;86;72;1;27;32;39;0;27;14;0;98;5;0;2;34;0;86;9;1;36;0;0;0;0;63;2;4;144;2;1128;621;0;7;786
50;orange marmalade;49;0;0;0;0;133;12;14;1;0;16;66;0;98;60;0;75;65;28;46;1;0;89;0;76;76;53;4;55;8;74;57;46;22119
51;american cheese spread;46;34;21;1;62;14;12;26;0;88;3;76;43;12;66;22;76;89;1;86;0;14;22;46;899;61;79;46;62;140;387;52;4;97357
52;apricot jam;48;10;42;0;0;129;87;1;44;0;4;69;0;0;17;0;53;96;87;68;18;0;48;0;4;70;66;8;99;6;154;9;62;1891
53;chunky peanut butter;94;8;12;37;22;35;13;38;13;0;30;2;0;18;94;0;13;22;2;72;0;0;1;16;72;2;3;256;3;51;1192;45;4;241
54;ham and cheese spread;37;28;13;11;2;3;0;24;0;92;2;89;30;0;94;35;66;3;98;41;0;0;0;0;326;87;1;27;63;743;243;65;3;38238
55;chicken and rice casserole homade;27;1;0;0;0;24;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57
56;picnic loaf;65;47;17;22;5;13;0;42;0;106;3;169;0;1;5;4;10;6;2;83;0;25;0;0;132;78;3;42;94;35;748;25;6;237
57;corn tamale;309;12;44;4;26;443;123;58;53;0;5;1018;0;98;0;0;23;22;6;3;0;0;7;52;398;20;9;481;4;1544;3088;75;1;1081
58;baked potato with cheese sauce bacon;451;259;101;97;48;444;0;184;0;299;1;1944;2;3;11;7;2;4;13;7;287;0;0;0;308;6;31;688;5;3468;117810;10;22;4287
59;chinese egg roll;223;106;19;27;5;243;0;74;23;142;4;45;0;1;0;79;1;24;3;1;0;0;0;66;356;1;13;16;2;757;1469;0;6;815
60;butter croissant;231;12;66;31;6;261;64;47;15;382;2;132;1;2;21;92;1;12;5;95;1;0;5;22;211;70;12;91;2;599;673;54;4;668
61;enchilada with cheese beef;323;176;9;61;14;305;0;119;0;403;13;1284;16;56;75;36;4;25;14;3;13;0;0;0;2285;5;31;826;6;167;5741;92;27;292933
62;corned beef hash with potatoes;387;242;102;124;7;219;8;206;26;755;1;166;0;2;13;62;1;37;1;5;21;0;57;17;448;0;24;307;2;1322;4059;34;33;1186
63;biscuit with egg cheese bacon;436;253;85;117;28;354;25;174;3;2407;12;623;1;4;97;67;4;34;11;2;0;95;15;98;1494;4;23;218;2;5264;190;87;16;2302
64;bagel with ham egg cheese;483;185;79;57;33;524;7;267;4;2426;13;887;2;7;1;48;6;6;14;1;0;1;12;18;1853;4;41;401;4;3973;2617;98;24;2876
65;quesadilla with chicken;529;275;111;68;74;433;34;271;31;666;13;767;1;4;73;12;3;76;0;1;2;100;5;30;4842;1;32;45;5;5634;3294;25;26;5887
66;corn rice;110;3;20;0;1;252;3;18;4;0;2;11;2;18;0;0;11;86;7;17;112;0;35;0;29;13;99;55;2;223;305;43;22;519
67;kung pao chicken;779;422;82;131;182;415;183;59;91;1570;24;4517;0;2;0;34;3;167;3;15;429;0;62;12;1208;4;46;145;15;5678;131670;97;45;3201
68;beef empanada;298;163;46;63;38;278;16;101;18;231;4;334;0;2;0;94;2;42;4;1;0;0;6;72;178;51;24;187;2;917;1691;37;17;762
69;frijoles with cheese;225;78;41;26;7;287;0;114;0;367;9;1154;8;1;1;85;3;15;11;2;15;0;0;0;1887;3;22;852;5;1754;6045;13;17;240305
70;burrito with beef;285;81;17;17;4;439;41;91;44;26;5;658;36;36;4;2;23;2;32;18;1;4;0;5;42;671;2;32;40;5;1509;2709;2;6589
71;crispy chicken sandwich;350;176;33;4;84;332;39;148;0;0;7;579;0;0;0;0;0;0;0;0;0;0;0;0;466;90;19;252;3;2293;2331;0;7;1141
72;enchilada with cheese;374;253;115;64;38;212;36;154;26;575;7;718;7;3;81;73;36;3;9;13;2;8;0;18;0;4302;2;9;397;2;3672;1918;30;656
73;pork egg roll;189;61;13;2;21;251;45;84;18;119;3;436;0;2;19;71;23;19;4;1;249;85;2;64;289;24;13;17;3;774;1802;71;8;965
74;corn on the cob with butter;155;34;16;1;6;319;0;45;0;58;56;1052;4;2;45;0;1;22;4;3;69;0;0;0;44;0;9;409;0;108;3592;34;9;52078
75;pancakes with butter syrup;260;7;29;26;1;454;0;41;0;290;6;577;15;2;82;46;3;17;3;51;17;0;7;0;638;73;13;244;2;2378;1253;75;5;123319
76;burrito with beans;224;67;34;24;6;357;0;7;0;22;5;57;0;3;67;93;3;2;1;2;1;0;0;0;564;2;23;434;4;488;3266;24;8;1091
77;scrambled eggs;100;76;29;28;9;1;8;65;0;2002;1;313;66;66;45;41;2;95;4;76;16;86;5;1;268;93;12;66;66;1137;691;12;8;44726
78;baked potato with sour cream;393;223;10;79;33;50;0;67;0;242;2;2097;2;3;86;9;2;37;15;8;338;0;0;0;1057;7;31;695;6;1842;138320;88;9;2218
79;turkey and gravy;161;63;2;23;11;111;0;141;0;432;13;2042;18;67;58;99;3;43;5;2;0;0;0;0;336;35;22;192;45;1944;1464;3;17;67374
80;chicken egg roll;158;36;8;11;15;228;45;84;19;112;4;433;85;2;13;19;1;29;5;2;9;0;3;72;376;56;14;24;3;944;2248;32;4;8475
81;vegetable egg roll;153;36;6;1;17;25;53;52;22;0;4;425;0;2;40;14;1;16;3;1;107;0;4;99;359;82;15;203;4;647;195;5;4;841
82;ham cheese roll;67;52;2;24;6;11;0;38;0;162;3;169;0;2;4;8;33;1;1;19;0;61;37;0;162;78;3;45;0;708;823;18;6;266
83;biscuit with ham;386;184;114;48;1;438;22;134;8;249;11;321;50;5;3;0;3;35;4;1;1;80;14;89;1605;54;27;226;4;5537;1966;11;16;239732
84;lemon chicken;1440;749;122;164;367;122;552;686;7;2038;15;3636;99;3;69;28;4;233;31;15;159;45;81;2;2484;2;84;956;6;8217;9874;1;32;545212
85;hummus;435;211;28;12;52;495;7;12;98;0;6;1596;0;2;1;0;1;1;7;1;194;0;18;59;1205;6;38;713;14;2706;4256;38;27;2361
86;croissant with egg cheese;368;247;141;75;14;243;0;128;0;2159;6;577;0;2;96;43;4;15;11;1;1;0;0;0;2438;77;22;216;2;348;174;65;18;3079
87;enchirito with cheese beef beans;344;161;79;65;3;338;0;179;0;502;13;121;74;2;28;51;7;3;18;2;46;0;0;0;2181;3;24;714;4;2239;5597;16;28;292984
88;sweet sour pork;38;22;4;5;1;33;14;12;1;34;3;71;3;73;0;2;53;3;86;3;3;0;1;58;64;24;4;18;54;186;213;53;1;13977
