Column1;Unnamed: 0;food;Caloric Value;Fat;Saturated Fats;Monounsaturated Fats;Polyunsaturated Fats;Carbohydrates;Sugars;Protein;Dietary Fiber;Cholesterol;Sodium;Water;Vitamin A;Vitamin B1;Vitamin B11;Vitamin B12;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Calcium;Copper;Iron;Magnesium;Manganese;Phosphorus;Potassium;Selenium;Zinc;Nutrition Density
0;0;eggnog;224;106;66;33;5;204;204;116;0;1499;1;2097;1;74;20;6;5;3;11;1;38;55;5;11;3302;51;5;483;24;2769;4191;94;12;3772
1;1;beer light;96;0;0;0;0;54;3;8;0;0;95;3131;0;83;79;0;69;13;67;1;0;0;0;0;132;95;14;165;94;396;693;77;44;19456
2;2;beer budweiser;12;0;0;0;0;9;0;1;0;0;95;274;0;0;0;0;0;0;0;0;0;0;0;0;12;95;0;21;38;38;97;0;0;22
3;3;weizenbier erdinger;220;18;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180
4;4;beer light budweiser;9;0;0;0;0;4;0;66;0;0;16;28;0;0;0;0;0;0;0;0;0;0;0;0;9;88;0;21;7;32;77;0;0;132
5;5;beer;142;0;0;0;0;117;0;15;0;0;67;3035;0;93;62;0;17;17;1;2;0;0;0;0;132;96;31;198;85;462;891;87;1;26436
6;6;root beer;202;0;0;0;0;523;523;0;0;0;68;4402;0;0;0;0;0;0;0;0;0;0;0;0;0;247;37;2;49;59;0;49;95;52334
7;7;whiskey sour mix;26;72;69;34;12;63;63;51;0;0;73;231;0;89;0;0;70;0;32;0;8;0;0;0;6;0;47;3;0;18;83;15;80;7914
8;8;whiskey sour;158;0;18;92;24;139;0;0;0;0;67;77;0;35;0;0;92;3;50;0;17;0;0;0;11;19;47;11;10;64;53;30;69;16717
9;9;tequila sunrise;232;2;0;0;0;238;0;6;0;0;1;1663;0;85;10;0;15;4;2;1;407;0;0;0;0;10;38;148;46;211;211;0;13;65357
10;10;daiquiri;112;36;63;38;12;42;33;35;1;0;8;418;0;21;47;0;65;22;74;3;1;0;92;9;18;98;33;12;40;3;126;40;91;7243
